证券代码,证券名称,交易类型,交易时间,成交股数,成交价格,成交编号,交易费用
69,000069,卖出,14:50:44,160,8.72,-344894729,1.63
69,000069,卖出,14:50:44,140,8.72,-344894727,1.43
1,000001,卖出,14:50:04,100,12.01,-344947187,1.41
69,000069,卖出,14:50:04,260,8.72,-344947090,2.65
69,000069,卖出,14:50:04,140,8.72,-344947088,1.43
488,000488,卖出,14:50:04,500,18.88,-1800376901,11.04
563,000563,买入,14:50:04,700,4.21,-1800376911,0.50
513,000513,卖出,14:50:04,100,75.25,-1800376876,8.80
636,000636,卖出,14:50:04,700,12.78,1767307797,10.47
2500,002500,买入,14:50:04,200,8.11,-1800376445,0.28
300059,300059,买入,14:50:04,100,15.07,-344946466,0.26
300274,300274,买入,14:50:04,300,18.30,-344946358,0.93
300136,300136,卖出,14:50:04,100,42.14,1767308205,4.93
600565,600565,买入,14:50:02,1200,4.04,100838286,0.92
601009,601009,买入,14:50:02,100,8.89,100838489,0.17
600750,600750,买入,14:50:02,200,25.25,100838596,0.96
600885,600885,买入,14:50:02,100,46.02,100838700,0.87
600885,600885,买入,14:50:02,100,46.04,100838701,0.87
600872,600872,买入,14:50:02,100,26.19,100838845,0.50
600500,600500,买入,14:50:02,100,7.79,100838621,0.15
600580,600580,买入,14:50:02,600,8.41,100838796,0.96
600036,600036,买入,14:50:02,300,30.92,100838794,1.76
600820,600820,卖出,14:50:02,254,7.79,100838810,2.35
600820,600820,卖出,14:50:02,500,7.79,100838811,4.64
600183,600183,卖出,14:50:02,200,17.97,100838795,4.28
600820,600820,卖出,14:50:02,646,7.79,100838812,5.99
600872,600872,卖出,13:45:54,100,26.35,98101859,3.14
600872,600872,卖出,13:45:54,100,26.35,98101860,3.14
69,000069,买入,13:14:21,800,8.82,-349809543,1.20
69,000069,卖出,13:14:15,699,8.81,-349813800,7.21
69,000069,卖出,13:14:15,101,8.81,-349813721,1.04
600380,600380,买入,11:21:59,800,12.85,96011841,1.95
600183,600183,买入,11:14:32,400,17.93,95750053,1.36
69,000069,买入,11:12:48,800,8.83,-351235576,1.20
69,000069,卖出,11:12:45,800,8.82,-351237982,8.26
600183,600183,卖出,10:58:59,400,18.00,95069113,8.57
600380,600380,卖出,10:55:04,800,12.82,94844962,12.20
2673,002673,卖出,10:53:58,100,10.55,-352401233,1.23
600155,600155,买入,10:52:36,100,10.23,94708857,0.19
681,000681,买入,10:52:21,100,27.00,-1080500185,0.46
600380,600380,买入,10:51:41,800,12.81,94664971,1.95
600155,600155,卖出,10:49:17,300,10.23,94551922,3.65
681,000681,卖出,10:48:51,100,26.96,-1080709541,3.15
681,000681,卖出,10:48:48,100,26.96,-1080712717,3.15
600036,600036,卖出,10:44:15,300,31.24,94311728,11.15
600036,600036,买入,10:43:23,100,31.26,94269508,0.59
600036,600036,买入,10:43:08,100,31.21,94256840,0.59
600036,600036,买入,10:43:08,100,31.21,94256841,0.59
681,000681,买入,10:40:45,100,26.77,-1081240203,0.46
681,000681,买入,10:40:42,100,26.75,-1081243508,0.45
681,000681,卖出,10:38:51,100,26.80,-1081374310,3.14
681,000681,卖出,10:38:39,100,26.80,-1081388187,3.14
830,000830,卖出,10:37:03,100,19.20,1758699102,2.25
830,000830,买入,10:35:58,100,19.09,1758619922,0.32
830,000830,买入,10:35:40,200,19.06,1758598472,0.65
600155,600155,买入,10:34:24,400,10.10,93784478,0.77
681,000681,买入,10:34:01,100,26.85,-1081737979,0.46
681,000681,买入,10:33:54,100,26.83,-1081747921,0.46
830,000830,卖出,10:33:03,200,19.08,1758396479,4.46
830,000830,卖出,10:32:48,200,19.06,1758378259,4.46
681,000681,卖出,10:32:04,100,27.00,-1081893883,3.16
681,000681,卖出,10:32:00,100,27.00,-1081897981,3.16
830,000830,买入,10:31:39,200,18.93,1758292425,0.64
830,000830,买入,10:31:36,200,18.93,1758288716,0.64
830,000830,卖出,10:28:57,200,19.17,1758096225,4.49
830,000830,卖出,10:28:42,200,19.17,1758078380,4.49
987,000987,买入,10:27:25,100,10.44,1757983634,0.18
830,000830,买入,10:26:27,200,19.15,1757913757,0.65
830,000830,买入,10:26:25,200,19.15,1757910721,0.65
987,000987,卖出,10:19:19,200,10.56,1757376434,2.47
987,000987,买入,10:18:33,300,10.51,1757315779,0.54
681,000681,买入,10:18:03,100,27.33,-1082968257,0.46
681,000681,买入,10:18:00,100,27.33,-1082973227,0.46
681,000681,卖出,10:17:27,100,27.34,-1083017341,3.20
681,000681,卖出,10:17:16,100,27.35,-1083032122,3.20
1,000001,买入,10:16:51,100,12.00,-355159726,0.20
600155,600155,卖出,10:14:35,400,10.11,92751882,4.81
2673,002673,买入,10:12:07,100,10.42,-355605307,0.18
2673,002673,买入,10:12:04,100,10.42,-355611020,0.18
2673,002673,买入,10:12:01,100,10.42,-355615020,0.18
600155,600155,买入,10:11:59,400,10.11,92598575,0.77
681,000681,买入,10:11:31,100,27.19,-1083524139,0.46
600500,600500,卖出,10:11:12,100,7.74,92547035,0.92
488,000488,卖出,10:09:54,100,18.78,-1811008202,2.20
681,000681,卖出,10:08:15,100,27.30,-1083809271,3.19
563,000563,卖出,10:07:39,100,4.18,-1811211128,0.49
563,000563,卖出,10:07:39,1300,4.18,-1811211126,6.36
600380,600380,卖出,10:07:24,800,12.80,92314412,12.19
600380,600380,卖出,10:07:20,800,12.80,92310733,12.19
600036,600036,卖出,10:06:26,200,30.92,92257015,7.36
600036,600036,卖出,10:06:26,100,30.92,92257016,3.68
600155,600155,卖出,10:06:18,400,10.13,92249889,4.82
600036,600036,卖出,10:06:17,300,30.93,92249646,11.04
681,000681,买入,10:04:51,100,27.13,-1084121059,0.46
