证券代码,证券名称,交易类型,交易时间,成交股数,成交价格,成交编号,交易费用
488,000488,买入,14:50:25,100,18.24,-348470630,0.33
300001,300001,买入,14:50:07,100,13.75,-1802980518,0.25
600885,600885,买入,14:50:05,100,46.45,98706284,0.93
600611,600611,卖出,14:50:05,900,4.90,98706252,5.29
2273,002273,买入,14:50:04,200,21.19,-348495159,0.76
2308,002308,买入,14:50:04,300,10.35,-348495102,0.56
2500,002500,卖出,14:50:04,200,7.80,-348494971,1.84
300297,300297,买入,14:50:04,100,10.00,-1076229842,0.18
300274,300274,卖出,14:50:04,300,17.74,-348494791,6.28
600183,600183,卖出,14:50:04,200,17.50,98705198,4.20
600580,600580,买入,14:50:04,600,8.21,98705325,0.99
627,000627,买入,14:50:03,300,8.27,-1076230585,0.45
69,000069,卖出,14:50:03,500,8.63,-348495625,5.09
488,000488,买入,14:50:03,600,18.23,-348495622,1.97
513,000513,卖出,14:50:03,100,73.37,-1802985505,8.66
600036,600036,买入,14:50:03,300,30.48,98705155,1.83
601939,601939,卖出,14:50:02,1100,8.04,98703201,10.61
601012,601012,买入,14:50:02,100,36.55,98703203,0.73
600056,600056,买入,14:50:02,400,23.35,98703255,1.87
600750,600750,卖出,14:50:02,65,24.24,98703378,1.89
600750,600750,卖出,14:50:02,135,24.23,98703379,3.93
300001,300001,卖出,14:35:28,100,13.68,-1803830250,1.61
600183,600183,买入,14:33:24,400,17.33,98059366,1.39
300274,300274,买入,14:32:58,400,17.47,-349457525,1.26
300274,300274,买入,14:32:52,200,17.48,-349461649,0.63
300001,300001,卖出,14:30:40,100,13.60,-1804047158,1.60
300001,300001,买入,14:30:10,100,13.60,-1804066579,0.24
300001,300001,买入,14:30:07,100,13.60,-1804068788,0.24
600580,600580,卖出,14:28:43,600,8.19,97902804,5.90
69,000069,买入,14:28:23,100,8.62,-349652536,0.16
69,000069,卖出,14:28:06,100,8.63,-349664453,1.02
2273,002273,卖出,14:27:06,400,21.00,-349708105,9.91
300274,300274,卖出,14:26:49,400,17.45,-349721265,8.24
300274,300274,卖出,14:26:49,200,17.45,-349721263,4.12
600580,600580,卖出,14:26:10,600,8.20,97809527,5.90
300274,300274,买入,14:18:29,600,17.54,-350075355,1.89
300297,300297,卖出,14:17:01,100,9.89,-1077675028,1.17
300274,300274,卖出,14:16:13,600,17.55,-350177659,12.43
300297,300297,买入,14:13:18,100,9.86,-1077866138,0.18
600580,600580,买入,14:13:18,300,8.18,97403763,0.49
600580,600580,买入,14:13:15,600,8.17,97401487,0.98
600611,600611,买入,14:12:40,900,4.88,97375210,0.88
600611,600611,买入,14:12:37,900,4.88,97373499,0.88
513,000513,买入,14:12:30,100,72.80,-1804838272,1.31
513,000513,买入,14:12:27,100,72.80,-1804840483,1.31
600580,600580,卖出,14:07:45,600,8.19,97206103,5.90
600580,600580,卖出,14:07:06,300,8.18,97185591,2.94
600183,600183,卖出,14:05:54,400,17.33,97147854,8.32
600580,600580,买入,13:56:16,600,8.16,96852381,0.98
600580,600580,买入,13:55:57,600,8.14,96841780,0.98
2308,002308,卖出,13:55:12,300,10.20,-351077867,3.61
712,000712,买入,13:54:33,100,14.73,-1805566902,0.27
2308,002308,买入,13:52:34,300,10.14,-351229756,0.55
513,000513,卖出,13:45:42,100,73.28,-1805968785,8.65
712,000712,卖出,13:41:39,100,14.83,-1806140326,1.75
712,000712,卖出,13:41:33,100,14.83,-1806145732,1.75
600183,600183,买入,13:41:00,400,17.21,96332499,1.38
600155,600155,买入,13:39:55,500,9.74,96290195,0.97
712,000712,买入,13:39:39,100,14.75,-1806257955,0.27
712,000712,买入,13:39:36,100,14.77,-1806262042,0.27
636,000636,卖出,13:31:06,200,12.32,-1806796183,2.91
636,000636,买入,13:30:17,500,12.26,-1806863311,1.10
300274,300274,买入,13:30:07,600,17.43,-352481166,1.88
300274,300274,卖出,13:28:28,600,17.44,-352607437,12.35
513,000513,卖出,13:28:21,100,73.65,-1807005115,8.69
2273,002273,买入,13:19:52,400,21.04,-353018049,1.51
712,000712,卖出,13:17:33,100,14.90,-1807531172,1.76
712,000712,买入,13:16:57,100,14.88,-1807568070,0.27
2273,002273,卖出,13:16:49,400,21.00,-353168675,9.91
636,000636,卖出,13:10:42,400,12.38,-1807936034,5.84
636,000636,卖出,13:10:39,200,12.39,-1807939018,2.92
636,000636,买入,13:09:42,600,12.33,-1807983556,1.33
