Date,Open,High,Low,Close,Adj Close,Volume
2008-08-28,157.240005,161.830002,156.669998,161.830002,142.627686,8565800
2008-08-29,160.559998,165.000000,160.270004,163.970001,144.513794,7586300
2008-09-02,167.500000,168.910004,162.699997,165.320007,145.703583,8212100
2008-09-03,163.970001,167.919998,162.029999,167.610001,147.721832,6673500
2008-09-04,166.149994,167.500000,160.000000,160.899994,141.808044,7788700
2008-09-05,157.770004,163.710007,157.720001,163.240005,143.870407,7539000
2008-09-08,171.000000,172.449997,162.509995,169.729996,149.590286,14981500
2008-09-09,167.300003,168.380005,160.500000,161.669998,142.486633,12437500
2008-09-10,159.899994,161.000000,155.729996,157.589996,138.890762,12939000
2008-09-11,151.360001,159.419998,149.869995,157.029999,138.397247,20752800
2008-09-12,154.380005,161.770004,152.350006,154.210007,135.911850,15622500
2008-09-15,142.279999,151.399994,130.429993,135.500000,119.421944,42202300
2008-09-16,118.000000,135.289993,116.129997,133.009995,117.227379,48296400
2008-09-17,120.800003,126.599998,97.779999,114.500000,100.913734,112060400
2008-09-18,106.000000,120.000000,86.309998,108.000000,95.184998,114590700
2008-09-19,142.509995,144.979996,116.000000,129.800003,114.398277,43208300
2008-09-22,132.779999,135.639999,120.430000,120.779999,106.448570,21938700
2008-09-23,118.889999,125.949997,113.010002,125.050003,110.211899,20037600
2008-09-24,128.440002,133.699997,126.019997,133.000000,117.218567,46611300
2008-09-25,134.250000,137.990005,128.759995,135.500000,119.421944,19172100
2008-09-26,132.490005,137.990005,129.509995,137.990005,121.616501,15806400
2008-09-29,134.490005,134.619995,105.000000,120.699997,106.378044,24147600
2008-09-30,126.889999,130.000000,124.500000,128.000000,112.811852,13129900
2008-10-01,127.320000,135.350006,124.989998,134.500000,118.540581,13837100
2008-10-02,132.169998,133.210007,128.050003,131.539993,115.931816,10894700
2008-10-03,132.839996,142.000000,126.940002,128.000000,112.811852,16080700
2008-10-06,122.099998,127.169998,115.000000,124.000000,109.286484,21368000
2008-10-07,127.510002,127.510002,112.019997,115.000000,101.354431,17184000
2008-10-08,110.000000,121.000000,107.550003,113.000000,99.591713,18223800
2008-10-09,117.750000,118.940002,100.000000,101.349998,89.324051,28150500
2008-10-10,86.110001,99.400002,74.000000,88.800003,78.263222,71312700
2008-10-13,98.930000,115.650002,91.000000,111.000000,97.829041,45400500
2008-10-14,125.970001,128.000000,117.320000,122.900002,108.317032,41605300
2008-10-15,114.449997,120.709999,110.790001,113.150002,99.723915,22250100
2008-10-16,115.000000,118.489998,104.000000,112.400002,99.062920,27901700
2008-10-17,110.239998,118.589996,107.000000,114.300003,100.737488,18413500
2008-10-20,117.550003,123.800003,115.650002,121.500000,107.083153,16908300
2008-10-21,120.839996,123.620003,118.830002,121.349998,106.950943,13588000
2008-10-22,117.190002,120.190002,111.000000,115.059998,101.407288,15459100
2008-10-23,113.980003,116.000000,101.709999,108.580002,95.988159,25529600
2008-10-24,96.000000,105.000000,96.000000,100.400002,88.756813,24494800
2008-10-27,96.800003,102.000000,91.470001,92.879997,82.108856,20595000
2008-10-28,96.989998,97.250000,82.220001,93.570000,82.718849,50066600
2008-10-29,93.349998,102.709999,88.660004,97.660004,86.334534,27769900
2008-10-30,101.160004,101.250000,88.010002,91.110001,80.544151,29700400
2008-10-31,88.980003,95.000000,87.199997,92.500000,81.772949,24881200
2008-11-03,92.000000,95.250000,87.309998,89.089996,78.758377,19796200
2008-11-04,90.690002,95.000000,87.180000,95.000000,83.983025,22105700
2008-11-05,92.779999,94.709999,86.500000,87.430000,77.290894,15693100
2008-11-06,85.910004,88.800003,79.410004,80.720001,71.359047,25933100
2008-11-07,81.449997,81.849998,75.000000,77.779999,68.760010,31450400
2008-11-10,78.769997,79.220001,68.510002,71.209999,62.951931,47450700
2008-11-11,69.360001,75.419998,66.680000,74.680000,66.019493,47573900
2008-11-12,71.989998,73.639999,64.540001,66.790001,59.044514,34436600
2008-11-13,67.790001,70.400002,61.020000,69.989998,61.873398,39994000
2008-11-14,67.849998,70.000000,65.120003,66.730003,58.991432,22186300
2008-11-17,64.790001,66.330002,61.750000,62.490002,55.243160,20299400
2008-11-18,62.730000,65.500000,60.560001,62.029999,54.836487,25737100
2008-11-19,61.330002,63.450001,54.540001,55.180000,48.780869,30481500
2008-11-20,54.000000,57.540001,49.000000,52.000000,45.969658,55618000
2008-11-21,54.540001,54.540001,47.410000,53.310001,47.127720,39591500
2008-11-24,56.130001,70.099998,55.270000,67.419998,59.601421,44615400
2008-11-25,71.410004,74.500000,66.519997,71.779999,63.455795,38662400
2008-11-26,69.629997,78.449997,69.400002,76.500000,67.628448,25006900
2008-11-28,75.940002,81.190002,74.239998,78.989998,69.829674,11525000
2008-12-01,75.800003,75.800003,64.190002,65.760002,58.133934,28592700
2008-12-02,63.650002,67.000000,60.220001,65.000000,57.462059,35316700
2008-12-03,63.070000,69.870003,62.119999,68.949997,60.953979,29036300
2008-12-04,68.190002,70.650002,66.040001,67.529999,59.698689,23838500
2008-12-05,66.750000,71.199997,65.019997,70.720001,62.518742,23811700
2008-12-08,73.870003,78.529999,73.519997,77.150002,68.203056,22756000
2008-12-09,75.419998,77.870003,71.559998,72.769997,64.330986,17049900
2008-12-10,73.800003,73.900002,69.349998,71.529999,63.234814,14093300
2008-12-11,70.349998,74.000000,69.089996,69.709999,61.625858,15387500
2008-12-12,65.699997,70.550003,65.500000,67.739998,59.884308,15777100
2008-12-15,67.120003,68.309998,65.110001,66.459999,58.752758,13821600
2008-12-16,69.570000,78.000000,68.540001,76.000000,67.186417,44110400
2008-12-17,75.330002,81.290001,74.139999,78.779999,69.644012,24790900
2008-12-18,79.669998,81.190002,78.250000,80.050003,70.766739,19998100
2008-12-19,79.370003,80.730003,77.650002,80.730003,71.367882,20379300
2008-12-22,80.000000,80.129997,74.889999,77.000000,68.070465,13175500
2008-12-23,77.410004,78.000000,75.050003,75.199997,66.479202,9468000
2008-12-24,75.540001,76.739998,75.260002,76.440002,67.575409,3166000
2008-12-26,76.830002,77.440002,75.309998,75.970001,67.159904,4657300
2008-12-29,76.430000,77.110001,75.029999,76.559998,67.681473,6322300
2008-12-30,77.290001,82.059998,76.309998,82.059998,72.543633,11031300
2008-12-31,82.239998,86.150002,81.120003,84.389999,74.603447,14894100
2009-01-02,84.019997,87.620003,82.190002,86.760002,76.698608,14088500
2009-01-05,85.809998,90.949997,85.459999,88.779999,78.484337,15996700
2009-01-06,90.050003,92.199997,87.720001,88.709999,78.422478,21551800
2009-01-07,86.910004,87.849998,83.650002,84.500000,74.700706,12465500
2009-01-08,83.519997,86.519997,82.680000,85.410004,75.505180,13448100
2009-01-09,85.910004,86.870003,80.410004,83.919998,74.187958,12192900
2009-01-12,83.360001,83.760002,76.430000,77.669998,68.662773,15776600
2009-01-13,74.160004,78.879997,73.709999,77.919998,68.883766,25861100
2009-01-14,75.879997,76.879997,73.449997,75.690002,66.912376,18336700
2009-01-15,75.029999,76.199997,69.000000,73.830002,65.268066,25795400
2009-01-16,75.980003,76.500000,69.949997,73.050003,64.578514,26049300
2009-01-20,69.599998,70.260002,59.130001,59.200001,52.334686,33123100
2009-01-21,63.389999,70.099998,63.250000,69.900002,61.793827,38168900
2009-01-22,67.279999,73.690002,65.529999,71.029999,62.792782,24608200
2009-01-23,67.870003,75.349998,67.120003,74.910004,66.222824,21924100
2009-01-26,76.059998,78.750000,72.769997,74.199997,65.595177,18729300
2009-01-27,75.510002,78.650002,74.769997,78.260002,69.184334,20655300
2009-01-28,84.279999,89.099998,83.370003,87.699997,77.529594,34234400
2009-01-29,85.129997,86.589996,82.120003,82.720001,73.127121,21624300
2009-01-30,83.589996,84.779999,79.349998,80.730003,71.367882,20344900
2009-02-02,78.779999,84.000000,78.570000,83.570000,73.878540,18485500
2009-02-03,84.300003,84.500000,79.800003,82.809998,73.206688,19442500
2009-02-04,83.699997,89.919998,83.449997,87.970001,77.768272,29780400
2009-02-05,86.769997,94.699997,86.260002,92.849998,82.082352,33847500
2009-02-06,94.269997,96.580002,91.559998,96.570000,85.370918,26559800
2009-02-09,97.019997,98.660004,94.629997,97.889999,86.537880,18736400
2009-02-10,96.790001,97.889999,89.699997,90.400002,79.916496,29857200
