证券代码,证券名称,交易类型,交易时间,成交股数,成交价格,成交编号,交易费用
513,513,buy,14:50:06,100,73.32,-1076179330,1.32
988,988,buy,14:50:04,100,15.88,-1803525685,0.29
988,988,buy,14:50:04,100,15.88,-1803525683,0.29
988,988,buy,14:50:04,100,15.88,-1803525681,0.29
600056,600056,sell,14:50:04,100,23.13,98981481,2.78
2308,2308,sell,14:50:04,300,10.63,-348258294,3.76
600155,600155,buy,14:50:04,500,10,98981586,1
2273,2273,buy,14:50:04,200,21.56,1765219998,0.78
2500,2500,sell,14:50:04,200,7.91,1765220058,1.87
300136,300136,buy,14:50:04,100,41.83,1765220264,0.75
300274,300274,buy,14:50:04,300,17.95,1765220281,0.97
600885,600885,buy,14:50:04,100,45.16,98981702,0.9
600183,600183,buy,14:50:04,200,17.51,98981797,0.7
600755,600755,sell,14:50:04,400,9.88,98981849,4.74
600580,600580,sell,14:50:04,300,8.39,98981796,3.02
601398,601398,sell,14:50:04,700,6.43,98981824,5.4
300297,300297,sell,14:50:04,100,9.82,-1076182898,1.16
1,1,sell,14:50:03,100,11.9,-348259538,1.4
69,69,sell,14:50:03,500,8.71,-1803526732,5.14
712,712,sell,14:50:03,100,14.59,-348259445,1.72
488,488,sell,14:50:03,100,18.42,-1803526686,2.17
563,563,buy,14:50:03,400,4.14,-1803526580,0.3
601009,601009,sell,14:50:02,200,8.8,98979482,2.11
601939,601939,sell,14:50:02,275,8.07,98979485,2.66
601939,601939,sell,14:50:02,825,8.07,98979486,7.99
601012,601012,sell,14:50:02,100,36.73,98979481,4.41
600611,600611,buy,14:50:02,900,4.89,98979487,0.88
988,988,sell,14:47:06,400,15.89,-1803793645,7.5
601012,601012,buy,14:30:29,200,36.75,97994769,1.47
600885,600885,sell,14:25:02,200,46,97786379,11.04
2273,2273,sell,14:25:01,400,21.74,1763770043,10.26
600611,600611,sell,14:23:08,400,4.91,97720774,2.36
300136,300136,sell,14:19:40,200,42.22,1763554153,9.96
300136,300136,buy,14:16:04,200,42.26,1763394965,1.52
300274,300274,sell,14:15:53,300,18.12,1763385995,6.41
600183,600183,sell,14:15:27,400,17.6,97429746,8.45
300274,300274,sell,14:15:26,300,18.1,1763365244,6.41
2500,2500,buy,14:13:49,200,7.94,1763282387,0.29
600580,600580,buy,14:13:36,600,8.46,97342699,1.02
600183,600183,buy,14:12:06,200,17.61,97275883,0.7
600183,600183,buy,14:12:06,200,17.61,97275884,0.7
300136,300136,sell,14:09:32,200,42.1,1763097014,9.94
563,563,buy,14:07:22,300,4.16,-1805670611,0.22
300136,300136,buy,14:05:49,200,42.15,1762936924,1.52
600580,600580,buy,14:04:34,200,8.43,97016278,0.34
600580,600580,buy,14:04:29,100,8.43,97013567,0.17
712,712,buy,14:01:21,100,14.69,-350664240,0.26
601012,601012,sell,14:01:02,100,36.81,96891712,4.42
601012,601012,sell,14:00:59,85,36.82,96889848,3.76
601012,601012,sell,14:00:58,15,36.82,96889567,0.66
601398,601398,buy,14:00:34,1400,6.44,96875639,1.8
300274,300274,buy,14:00:22,300,18.05,1762687550,0.97
300274,300274,buy,13:59:32,300,18.05,1762652003,0.97
712,712,sell,13:58:44,100,14.7,-350767320,1.73
300136,300136,sell,13:57:48,100,41.61,1762582890,4.91
300136,300136,sell,13:57:19,100,41.7,1762565320,4.92
600611,600611,sell,13:05:41,500,4.85,95008270,2.91
712,712,buy,11:24:42,100,14.78,-353537485,0.27
712,712,buy,11:24:39,100,14.78,-353539602,0.27
300274,300274,sell,11:19:53,300,18.05,1759572617,6.39
600183,600183,sell,11:18:31,400,17.29,94477302,8.3
513,513,sell,11:18:00,100,73.32,-1081718801,8.65
513,513,sell,11:17:57,100,73.32,-1081720310,8.65
600056,600056,buy,11:15:37,100,23.35,94399376,0.47
600056,600056,buy,11:15:04,200,23.33,94385517,0.93
600750,600750,buy,11:03:15,100,24.76,94026733,0.5
601012,601012,buy,11:02:38,200,36.4,94008743,1.46
601012,601012,sell,11:02:20,200,36.37,94000209,8.73
681,681,buy,10:59:45,100,26.47,1758758685,0.48
300274,300274,sell,10:59:15,300,18.02,1758737687,6.38
600750,600750,sell,10:59:07,100,24.75,93904048,2.97
681,681,sell,10:57:36,100,26.55,1758669471,3.13
681,681,sell,10:57:33,100,26.55,1758667317,3.13
681,681,buy,10:57:14,100,26.63,1758654998,0.48
681,681,buy,10:57:04,100,26.63,1758647317,0.48
563,563,sell,10:55:21,600,4.17,-1809817736,2.95
563,563,sell,10:55:20,100,4.17,-1809818049,0.49
563,563,sell,10:55:15,400,4.17,-1809821545,1.97
563,563,sell,10:55:15,300,4.17,-1809821543,1.48
681,681,sell,10:54:45,100,26.48,1758556377,3.12
681,681,sell,10:54:42,100,26.49,1758553923,3.13
681,681,buy,10:54:12,100,26.48,1758533575,0.48
