证券代码,证券名称,交易类型,交易时间,成交股数,成交价格,成交编号,交易费用
600056,600056,buy,14:56:28,100,23.28,98205063,0.47
600155,600155,buy,14:50:05,500,9.78,97769894,0.98
2500,2500,sell,14:50:04,200,7.75,-1805007387,1.83
300001,300001,sell,14:50:04,100,13.57,1762821146,1.6
601939,601939,sell,14:50:03,1100,7.9,97767289,10.43
627,627,buy,14:50:03,300,8.28,-349536665,0.45
636,636,buy,14:50:03,100,12.51,-1805007871,0.23
488,488,buy,14:50:03,100,17.88,-1805007866,0.32
636,636,buy,14:50:03,200,12.51,-1805007869,0.45
69,69,sell,14:50:03,500,8.64,-1077956498,5.1
513,513,buy,14:50:03,100,73.6,-1077956495,1.32
830,830,buy,14:50:03,200,19.81,-349536260,0.71
600183,600183,buy,14:50:02,200,17.01,97766312,0.68
600580,600580,sell,14:50:02,100,8.49,97766313,1.02
600056,600056,buy,14:50:02,300,23.33,97766453,1.4
600885,600885,buy,14:50:02,100,45.01,97766594,0.9
601012,601012,buy,14:50:02,100,36.12,97766579,0.72
600750,600750,buy,14:50:02,200,24.5,97766497,0.98
600036,600036,sell,14:50:01,300,30.17,97765954,10.86
830,830,sell,14:49:06,200,19.81,-349598096,4.68
2273,2273,buy,14:48:52,200,21.72,-1078029106,0.78
300001,300001,buy,14:48:22,100,13.54,1762712168,0.24
300001,300001,buy,14:47:55,100,13.53,1762683334,0.24
830,830,buy,14:47:29,200,19.82,-349701321,0.71
600036,600036,buy,14:46:14,200,30.17,97558441,1.21
600036,600036,buy,14:46:13,100,30.17,97557824,0.6
600036,600036,buy,14:46:11,300,30.17,97555206,1.81
600155,600155,sell,14:45:17,500,9.78,97495877,5.87
600155,600155,sell,14:45:14,500,9.78,97492498,5.87
600580,600580,sell,14:32:56,100,8.57,96927400,1.03
600183,600183,sell,14:31:54,400,17.04,96872202,8.18
600580,600580,buy,14:25:59,200,8.58,96653875,0.34
600183,600183,buy,14:22:32,400,17.04,96535614,1.36
830,830,sell,14:18:33,200,19.94,-351086030,4.71
830,830,sell,14:17:00,100,19.93,-351142671,2.35
830,830,sell,14:17:00,100,19.93,-351142669,2.35
830,830,buy,14:16:27,200,19.91,-351165545,0.72
830,830,buy,14:16:24,200,19.9,-351167344,0.72
600155,600155,buy,14:15:38,500,9.82,96288741,0.98
300297,300297,sell,14:15:37,100,9.68,1761124987,1.14
600155,600155,buy,14:15:34,400,9.82,96286768,0.79
600155,600155,buy,14:15:34,100,9.82,96286769,0.2
