证券代码,证券名称,交易类型,交易时间,成交股数,成交价格,成交编号,交易费用
69,69,sell,14:50:04,500,8.71,1765589956,5.1
563,563,buy,14:50:04,700,4.18,1765589980,0.5
600036,600036,sell,14:50:04,100,30.74,99427393,3.66
600036,600036,sell,14:50:04,100,30.74,99427394,3.66
600183,600183,sell,14:50:04,200,17.74,99427442,4.22
2500,2500,buy,14:50:04,200,7.98,-346662133,0.27
600580,600580,buy,14:50:04,100,8.34,99427734,0.16
600872,600872,buy,14:50:04,100,24.99,99427735,0.47
2273,2273,sell,14:50:04,400,22.34,1765590575,10.46
2673,2673,sell,14:50:04,200,10.45,1765590859,2.45
300274,300274,sell,14:50:04,300,18.23,-1074384876,6.4
513,513,buy,14:50:03,100,73.38,-346663264,1.25
712,712,sell,14:50:03,100,14.83,-346663161,1.74
600380,600380,buy,14:50:02,800,12.5,99424986,1.9
601009,601009,sell,14:50:02,200,8.87,99425100,2.11
601012,601012,sell,14:50:02,200,35.81,99425224,8.52
600750,600750,buy,14:50:02,200,24.86,99425277,0.94
600580,600580,buy,14:48:58,500,8.31,99361999,0.79
601009,601009,buy,14:48:38,200,8.87,99343711,0.34
513,513,sell,14:46:44,100,73.41,-346933064,8.59
601009,601009,sell,14:45:27,200,8.88,99123930,2.11
2500,2500,sell,14:42:21,200,7.98,-347297808,1.87
300001,300001,buy,14:39:07,100,13.99,-1075246242,0.24
600750,600750,sell,14:28:31,400,24.87,98252815,11.84
300001,300001,sell,14:28:10,100,14.03,-1075805574,1.64
300001,300001,sell,14:28:00,100,14,-1075813615,1.64
300001,300001,buy,14:25:46,100,14,-1075934461,0.24
300001,300001,buy,14:25:43,100,14,-1075937672,0.24
600872,600872,sell,14:25:34,100,25.2,98132495,3
600155,600155,buy,14:25:27,100,10.23,98127841,0.19
600872,600872,sell,14:25:27,100,25.23,98127835,3
600155,600155,buy,14:25:02,100,10.23,98109658,0.19
600872,600872,buy,14:24:36,200,25.1,98091130,0.95
2500,2500,sell,14:21:57,200,8.01,-348404778,1.87
600155,600155,sell,14:20:29,400,10.27,97905662,4.89
600155,600155,buy,14:16:35,400,10.25,97733315,0.78
601012,601012,buy,14:14:56,200,36,97643826,1.37
601012,601012,sell,14:14:21,200,35.99,97615549,8.57
488,488,sell,14:14:00,600,18.42,-1076632773,12.93
600155,600155,sell,14:13:41,300,10.3,97584245,3.68
600155,600155,sell,14:13:41,100,10.3,97584246,1.23
600380,600380,sell,14:12:51,800,12.6,97543600,12
600155,600155,buy,14:12:13,100,10.28,97516873,0.2
600155,600155,buy,14:12:13,300,10.28,97516874,0.59
600155,600155,sell,14:11:10,400,10.37,97471574,4.94
600155,600155,buy,14:08:20,400,10.34,97347262,0.79
681,681,buy,14:08:12,100,26.42,-349160070,0.45
601012,601012,buy,14:04:20,200,36,97183618,1.37
601012,601012,buy,14:00:47,200,36.07,97050422,1.37
600580,600580,sell,14:00:27,200,8.44,97039683,2.01
601012,601012,sell,13:57:59,200,36.6,96964341,8.71
681,681,sell,13:57:54,100,26.63,-349660369,3.12
600155,600155,sell,13:57:53,400,10.08,96961008,4.8
636,636,buy,13:55:00,700,12.87,1762452293,1.53
600565,600565,buy,13:54:41,500,4.37,96863878,0.42
513,513,buy,13:53:48,100,73.68,-349847465,1.25
681,681,buy,13:51:29,100,26.64,-349943915,0.45
600565,600565,sell,13:50:54,1400,4.31,96741131,7.18
600565,600565,sell,13:50:53,300,4.31,96740668,1.54
600565,600565,buy,13:49:12,2400,4.3,96687854,1.96
600565,600565,sell,13:48:13,800,4.33,96655795,4.12
600565,600565,sell,13:48:02,1600,4.34,96649828,8.26
681,681,sell,13:47:54,100,26.61,-350085894,3.11
681,681,sell,13:47:51,100,26.61,-350087954,3.11
488,488,buy,13:47:13,600,18.5,-1077912944,1.89
600565,600565,buy,13:46:39,1100,4.29,96605878,0.9
600565,600565,buy,13:46:39,1300,4.29,96605919,1.06
600155,600155,buy,13:46:34,200,10.08,96603689,0.38
600580,600580,buy,13:45:33,200,8.46,96572250,0.32
681,681,buy,13:45:00,100,26.62,-350209309,0.45
488,488,sell,13:43:45,600,18.49,-1078066797,12.98
600565,600565,sell,13:43:34,2400,4.26,96506784,12.17
681,681,buy,13:42:45,100,26.57,-350315540,0.45
600565,600565,buy,13:42:31,2100,4.22,96473039,1.68
600565,600565,buy,13:42:31,300,4.22,96473040,0.24
300001,300001,sell,13:40:50,100,14.12,-1078214977,1.65
300001,300001,sell,13:40:46,100,14.12,-1078218438,1.65
513,513,sell,13:40:45,100,73.65,-350407147,8.62
513,513,sell,13:40:42,100,73.66,-350409638,8.62
600565,600565,sell,13:40:05,1817,4.14,96391684,8.95
600565,600565,sell,13:40:04,83,4.14,96391181,0.41
600565,600565,sell,13:40:04,500,4.14,96391233,2.46
600565,600565,buy,13:36:16,2300,4.09,96274297,1.79
600580,600580,sell,13:34:54,700,8.48,96232286,7.06
600580,600580,buy,13:34:38,200,8.47,96224435,0.32
600580,600580,buy,13:34:33,500,8.46,96221501,0.8
300136,300136,sell,13:34:17,100,42.49,-1078548573,4.97
600580,600580,sell,13:32:48,100,8.48,96167426,1.01
600580,600580,sell,13:32:45,600,8.48,96165895,6.05
600580,600580,sell,13:32:27,200,8.47,96156210,2.02
600580,600580,sell,13:32:27,100,8.47,96156211,1.01
600580,600580,sell,13:32:27,100,8.47,96156212,1.01
600580,600580,sell,13:32:27,100,8.47,96156213,1.01
681,681,sell,13:29:57,100,26.77,-350993328,3.13
681,681,sell,13:29:54,100,26.75,-350996479,3.13
300274,300274,buy,13:27:28,300,18.4,-1078904206,0.94
300274,300274,buy,13:27:25,300,18.4,-1078906367,0.94
600155,600155,buy,13:24:50,200,10.09,95897448,0.38
513,513,buy,13:23:44,100,73.71,-351384814,1.25
601012,601012,buy,13:20:04,200,36.7,95757423,1.39
2273,2273,buy,13:19:20,400,22.55,1760831361,1.53
601009,601009,buy,13:19:20,200,8.91,95736620,0.34
300136,300136,buy,13:16:25,100,42.36,-1079425829,0.72
300136,300136,buy,13:16:23,100,42.37,-1079427077,0.72
600565,600565,buy,13:15:52,100,4.06,95637480,0.08
300136,300136,sell,13:15:50,200,42.41,-1079450535,9.92
2273,2273,sell,13:15:43,400,22.59,1760669485,10.57
600155,600155,sell,13:15:08,400,10.11,95615955,4.81
600580,600580,buy,13:14:47,100,8.45,95605784,0.16
600580,600580,buy,13:13:54,400,8.45,95581323,0.64
681,681,buy,13:13:03,100,26.57,-351866187,0.45
681,681,buy,13:13:00,100,26.57,-351868383,0.45
600155,600155,buy,13:12:49,400,10.1,95550795,0.77
300136,300136,buy,13:11:57,200,42.19,-1079614631,1.43
600155,600155,sell,13:11:13,400,10.13,95509756,4.82
300001,300001,buy,13:10:16,100,14,-1079686625,0.24
600580,600580,buy,13:07:36,700,8.44,95420981,1.12
600565,600565,sell,13:04:55,1300,4.06,95357523,6.28
600565,600565,sell,13:04:50,300,4.06,95355482,1.45
600580,600580,sell,13:04:30,1200,8.45,95348830,12.07
601009,601009,sell,13:04:18,200,8.92,95344608,2.12
600565,600565,sell,13:04:08,800,4.06,95340970,3.87
681,681,sell,13:02:57,100,26.68,-352233666,3.12
681,681,sell,13:02:54,100,26.68,-352235173,3.12
636,636,sell,13:02:12,100,12.95,1760184665,1.52
636,636,sell,13:02:12,600,12.95,1760184667,9.09
636,636,sell,13:02:09,700,12.95,1760182725,10.61
300136,300136,sell,13:01:46,100,41.9,-1079994720,4.9
300274,300274,sell,13:01:43,300,18.2,-1079996593,6.39
300274,300274,sell,13:01:40,300,18.2,-1079998655,6.39
300136,300136,sell,11:26:19,100,41.89,-1080320267,4.9
600036,600036,sell,11:26:19,100,31.01,95110098,3.69
636,636,buy,11:25:48,700,12.93,1759839038,1.54
636,636,buy,11:25:33,700,12.9,1759828636,1.54
600036,600036,buy,11:25:30,300,30.96,95089974,1.76
69,69,buy,11:25:27,500,8.73,1759825365,0.74
712,712,buy,11:25:27,100,14.94,-352602560,0.25
681,681,buy,11:24:54,100,26.54,-352620756,0.45
681,681,buy,11:24:51,100,26.54,-352622360,0.45
300136,300136,buy,11:21:11,200,41.79,-1080493240,1.42
681,681,sell,11:20:18,100,26.51,-352782614,3.1
681,681,sell,11:20:15,100,26.51,-352784127,3.1
601009,601009,buy,11:17:29,200,8.88,94893320,0.34
601009,601009,buy,11:17:23,200,8.88,94890542,0.34
600885,600885,sell,11:13:54,100,46.89,94802561,5.58
300136,300136,sell,11:13:35,200,41.9,-1080760255,9.8
2500,2500,buy,11:13:22,200,8.02,-353020699,0.27
600183,600183,buy,11:12:19,200,18,94760832,0.68
600155,600155,buy,11:11:29,400,10.09,94736240,0.77
2673,2673,buy,11:11:28,200,10.5,1759320317,0.36
300274,300274,buy,11:11:10,300,18.12,-1080864380,0.92
300274,300274,buy,11:11:07,205,18.12,-1080866887,0.63
300274,300274,buy,11:11:07,95,18.12,-1080866885,0.29
563,563,sell,11:10:24,700,4.21,1759274821,3.45
681,681,buy,11:08:57,100,26.43,-353196888,0.45
681,681,buy,11:08:54,100,26.43,-353199031,0.45
513,513,sell,11:08:33,100,73.65,-353215022,8.62
600580,600580,buy,11:08:19,300,8.44,94630500,0.48
600872,600872,sell,11:08:15,100,25.35,94628925,3.02
600872,600872,sell,11:08:15,100,25.34,94628926,3.02
600885,600885,buy,11:07:59,100,46.45,94619724,0.88
600872,600872,buy,11:07:55,79,25.28,94617503,0.38
600872,600872,buy,11:07:54,121,25.28,94616748,0.58
600872,600872,sell,11:07:43,100,25.4,94611209,3.02
600580,600580,buy,11:07:26,700,8.43,94601380,1.12
488,488,buy,11:07:18,600,18.59,-1081033743,1.9
600580,600580,buy,11:07:09,200,8.42,94591880,0.32
300136,300136,buy,11:07:00,200,41.73,-1081048317,1.42
488,488,buy,11:06:27,600,18.58,-1081074494,1.9
830,830,sell,11:05:36,200,20.52,1759069915,4.8
600872,600872,buy,11:05:16,100,25.33,94515332,0.48
600885,600885,sell,11:04:55,100,46.66,94500883,5.55
600885,600885,sell,11:04:38,100,46.6,94487582,5.55
712,712,sell,11:04:36,100,14.97,-353406547,1.75
830,830,buy,11:04:24,200,20.53,1759014586,0.7
830,830,buy,11:04:21,200,20.52,1759012284,0.7
488,488,sell,11:04:21,600,18.62,-1081175384,13.07
488,488,sell,11:04:18,600,18.62,-1081177733,13.07
681,681,sell,11:03:48,100,26.5,-353441955,3.1
681,681,sell,11:03:45,100,26.5,-353444061,3.1
830,830,sell,11:02:48,200,20.63,1758942454,4.83
830,830,sell,11:02:45,200,20.63,1758940455,4.83
681,681,buy,11:02:18,100,26.53,-353501510,0.45
681,681,buy,11:02:15,100,26.53,-353503294,0.45
830,830,buy,11:01:24,100,20.66,1758889909,0.35
830,830,buy,11:01:24,100,20.66,1758889911,0.35
830,830,buy,11:01:09,200,20.64,1758879961,0.7
987,987,sell,10:59:57,100,10.97,1758830486,1.28
636,636,sell,10:59:45,700,12.95,1758822399,10.61
636,636,sell,10:59:42,500,12.96,1758820934,7.58
636,636,sell,10:59:42,200,12.96,1758820936,3.03
830,830,sell,10:58:54,200,20.65,1758787271,4.83
830,830,sell,10:58:51,200,20.65,1758785412,4.83
600565,600565,buy,10:58:14,600,4.06,94277356,0.46
600565,600565,buy,10:58:14,1100,4.06,94277357,0.85
600565,600565,buy,10:58:14,700,4.06,94277358,0.54
636,636,buy,10:57:17,700,12.84,1758721551,1.53
600885,600885,buy,10:56:59,200,46.24,94236107,1.76
600885,600885,sell,10:56:56,200,46.38,94234516,11.04
300274,300274,sell,10:55:52,300,18.18,-1081542150,6.38
300274,300274,sell,10:55:49,300,18.18,-1081544346,6.38
600885,600885,buy,10:55:29,200,46.2,94186384,1.76
488,488,buy,10:55:21,600,18.67,-1081565371,1.9
600885,600885,sell,10:54:55,200,46.43,94168106,11.05
681,681,sell,10:54:36,100,26.51,-353805109,3.1
681,681,sell,10:54:33,100,26.5,-353807170,3.1
830,830,buy,10:53:24,200,20.71,1758546819,0.7
830,830,buy,10:53:21,200,20.71,1758544543,0.7
601012,601012,sell,10:52:58,100,36.88,94109597,4.39
601012,601012,sell,10:52:43,100,36.96,94101653,4.4
830,830,sell,10:52:06,200,20.7,1758486747,4.84
987,987,buy,10:50:12,300,10.96,1758398213,0.56
600155,600155,sell,10:50:11,400,10.14,94024057,4.83
681,681,buy,10:50:06,100,26.4,-354005453,0.45
681,681,buy,10:50:03,100,26.4,-354007799,0.45
601009,601009,sell,10:49:50,200,8.94,94013016,2.13
300297,300297,sell,10:49:31,100,10.21,-1081829691,1.19
636,636,sell,10:49:15,700,12.87,1758349994,10.54
987,987,sell,10:48:57,400,10.98,1758335276,5.14
830,830,sell,10:48:56,200,20.79,1758334103,4.86
681,681,sell,10:48:27,100,26.39,-354090238,3.09
681,681,sell,10:48:24,100,26.39,-354092801,3.09
300136,300136,sell,10:47:48,100,41.94,-1081920304,4.91
300136,300136,sell,10:47:46,100,41.94,-1081921754,4.91
830,830,buy,10:46:51,200,20.79,1758223910,0.71
600036,600036,sell,10:46:49,300,31.07,93909213,11.09
600036,600036,buy,10:46:45,200,31.08,93907077,1.18
830,830,buy,10:46:42,200,20.76,1758215376,0.71
600036,600036,buy,10:46:39,100,31.07,93903431,0.59
636,636,buy,10:46:06,700,12.78,1758181979,1.52
300024,300024,buy,10:45:52,100,19.55,-354230796,0.33
300136,300136,buy,10:45:45,200,41.86,-1082035843,1.42
300297,300297,buy,10:45:43,100,10.09,-1082037487,0.17
987,987,buy,10:45:18,400,10.94,1758138645,0.74
300136,300136,sell,10:42:49,200,41.84,-1082171492,9.79
830,830,sell,10:42:30,200,20.74,1758008079,4.85
987,987,sell,10:42:30,400,11.01,1758008331,5.15
830,830,sell,10:42:27,200,20.76,1758005636,4.86
300024,300024,sell,10:40:47,100,19.6,-354468421,2.29
300024,300024,sell,10:40:43,100,19.6,-354471520,2.29
300297,300297,sell,10:40:43,100,10.08,-1082270612,1.18
300024,300024,buy,10:40:20,100,19.63,-354490358,0.33
300297,300297,buy,10:39:51,100,10.06,-1082312922,0.17
600885,600885,buy,10:39:51,100,46.18,93656940,0.88
300024,300024,buy,10:39:49,100,19.53,-354515578,0.33
600885,600885,buy,10:39:44,200,46.07,93652369,1.75
