证券代码,证券名称,交易类型,交易时间,成交股数,成交价格,成交编号,交易费用
601939,601939,buy,14:55:02,100,8.03,99330406,0.16
600611,600611,sell,14:50:04,1600,5,99014689,9.6
601939,601939,buy,14:50:04,500,8.04,99014860,0.8
975,975,sell,14:50:03,300,14.11,-349338498,4.99
600872,600872,buy,14:50:03,100,24.67,99014605,0.49
600885,600885,sell,14:50:02,200,44.47,99012459,10.67
600618,600618,sell,14:50:02,243,10.87,99012572,3.17
600009,600009,sell,14:50:02,100,50.77,99012574,6.09
600618,600618,sell,14:50:02,57,10.87,99012573,0.74
600729,600729,sell,14:50:02,100,29.1,99012460,3.49
600038,600038,buy,14:50:01,100,43.35,99012362,0.87
975,975,buy,14:46:45,600,14.22,-349546149,1.54
600611,600611,buy,14:43:34,400,5,98677648,0.4
600611,600611,buy,14:43:15,700,5.01,98660086,0.7
600611,600611,buy,14:39:37,400,5.01,98465528,0.4
600611,600611,buy,14:39:34,100,5.01,98462876,0.1
600611,600611,buy,14:39:25,1700,5,98455842,1.7
300297,300297,sell,14:22:21,100,9.59,-1805216095,1.13
601939,601939,sell,14:13:12,1000,7.99,97457700,9.59
601939,601939,sell,14:13:05,150,8,97452538,1.44
600038,600038,sell,14:12:10,200,43.51,97422128,10.44
600009,600009,buy,14:09:55,100,50.99,97345016,1.02
600009,600009,buy,14:09:55,100,50.99,97345017,1.02
600038,600038,buy,14:07:58,200,43.18,97271820,1.73
600038,600038,sell,14:07:13,200,43.45,97246332,10.43
600618,600618,sell,13:57:08,100,10.83,96910469,1.3
600729,600729,buy,13:52:49,200,29.35,96772867,1.17
2273,2273,sell,13:48:13,200,21.66,-1806701195,5.11
975,975,sell,13:43:07,600,14.34,-352239475,10.15
600009,600009,sell,13:42:32,100,51.43,96467842,6.17
600009,600009,sell,13:42:28,100,51.38,96466002,6.17
600009,600009,buy,13:41:10,100,51.24,96424389,1.02
600009,600009,buy,13:41:07,100,51.23,96422767,1.02
600729,600729,sell,13:35:52,200,29.6,96250249,7.1
601939,601939,buy,13:30:51,1200,7.95,96084130,1.91
600872,600872,sell,13:27:33,200,24.81,95984115,5.95
600611,600611,sell,13:18:45,600,5,95724451,3.6
600611,600611,sell,13:18:33,1100,5,95717792,6.6
600611,600611,sell,13:16:42,200,5,95659573,1.2
600611,600611,sell,13:16:42,100,5,95659574,0.6
600611,600611,sell,13:16:42,1400,5,95659575,8.4
600038,600038,buy,13:09:16,200,42.74,95423258,1.71
600618,600618,buy,13:08:28,200,10.78,95400702,0.43
600618,600618,sell,13:07:43,100,10.78,95381393,1.29
600618,600618,sell,13:06:04,100,10.82,95339974,1.3
600611,600611,buy,11:22:43,900,4.94,94938708,0.89
600611,600611,buy,11:22:40,1700,4.94,94937542,1.68
600729,600729,buy,11:22:23,100,29.38,94929804,0.59
600729,600729,buy,11:22:17,100,29.28,94926628,0.59
600183,600183,buy,11:22:16,200,16.54,94926022,0.66
600885,600885,buy,11:22:05,200,44.65,94920367,1.79
600885,600885,buy,11:21:53,200,44.66,94912628,1.79
488,488,buy,11:21:48,200,17.32,-1082058470,0.62
2273,2273,buy,11:21:48,200,21.4,-1808948259,0.77
600729,600729,sell,11:21:26,200,29.4,94899240,7.06
600729,600729,buy,11:19:41,200,29.3,94853718,1.17
488,488,sell,11:18:06,200,17.36,-1082185143,4.1
600729,600729,sell,11:16:11,200,29.48,94742941,7.08
600118,600118,buy,11:13:59,100,21.75,94683021,0.43
897,897,buy,11:13:06,100,3.34,-1082347231,0.06
600183,600183,sell,11:10:40,200,16.56,94589561,3.97
600183,600183,sell,11:10:40,200,16.56,94589562,3.97
600118,600118,sell,11:10:05,300,21.79,94572343,7.84
488,488,sell,11:09:36,500,17.37,-1082469583,10.25
600038,600038,sell,11:09:32,200,42.79,94554775,10.27
2273,2273,sell,11:09:30,400,21.38,-1809341089,10.09
600118,600118,buy,11:08:26,400,21.73,94516467,1.74
600885,600885,sell,11:05:29,100,44.79,94436376,5.37
600885,600885,sell,11:04:17,100,44.53,94403749,5.34
600885,600885,sell,11:04:14,100,44.53,94402325,5.34
600885,600885,sell,11:04:14,100,44.53,94402326,5.34
600580,600580,buy,11:03:58,100,8.54,94394410,0.17
600611,600611,sell,11:03:40,100,4.94,94384992,0.59
600885,600885,buy,11:03:17,200,44.7,94372692,1.79
600885,600885,sell,11:03:11,200,44.61,94369703,10.71
600885,600885,buy,11:00:50,100,44.6,94299824,0.89
600885,600885,buy,11:00:47,200,44.6,94298568,1.78
300297,300297,buy,11:00:18,100,9.62,-1809693518,0.17
300297,300297,buy,11:00:10,100,9.62,-1809699337,0.17
600618,600618,buy,10:59:56,380,10.69,94271608,0.81
600618,600618,buy,10:59:56,420,10.69,94271609,0.9
600611,600611,buy,10:59:52,700,4.94,94269794,0.69
600611,600611,buy,10:59:43,200,4.93,94265355,0.2
897,897,sell,10:58:01,100,3.32,-1082896989,0.39
600118,600118,sell,10:56:59,400,21.76,94178508,10.44
600183,600183,buy,10:54:52,400,16.52,94108713,1.32
897,897,buy,10:54:28,200,3.32,-1083039214,0.12
2273,2273,buy,10:49:46,400,21.27,-1810203628,1.53
2273,2273,buy,10:49:43,400,21.27,-1810207151,1.53
488,488,buy,10:49:39,500,17.37,-1083304721,1.56
488,488,buy,10:49:36,500,17.37,-1083308545,1.56
600038,600038,buy,10:49:29,200,42.32,93862324,1.69
600872,600872,buy,10:49:22,200,24.5,93853917,0.98
600038,600038,sell,10:48:18,200,42.31,93774155,10.15
600618,600618,sell,10:46:56,59,10.69,93672073,0.76
600618,600618,sell,10:46:56,741,10.69,93672074,9.51
600183,600183,sell,10:46:34,300,16.49,93649159,5.94
600580,600580,sell,10:46:11,200,8.54,93626904,2.05
600580,600580,sell,10:46:07,200,8.54,93622113,2.05
