证券代码,证券名称,交易类型,交易时间,成交股数,成交价格,成交编号,交易费用
600183,600183,buy,14:51:42,100,16.91,97988747,0.34
2500,2500,sell,14:50:05,200,7.76,-350322404,1.83
2673,2673,sell,14:50:05,200,10.23,-1805006160,2.41
300274,300274,sell,14:50:05,300,17.87,-1805006157,6.33
300297,300297,buy,14:50:05,100,9.66,1762365211,0.17
2273,2273,sell,14:50:04,200,21.75,-350323734,5.13
600183,600183,buy,14:50:04,200,16.89,97899098,0.68
600885,600885,buy,14:50:04,100,45.41,97899104,0.91
600580,600580,sell,14:50:04,600,8.33,97899099,6
601939,601939,sell,14:50:04,500,8.01,97899162,4.81
636,636,buy,14:50:03,500,12.44,-350324494,1.12
712,712,buy,14:50:03,100,14.72,-350324323,0.26
627,627,buy,14:50:03,300,8.26,1762363724,0.45
69,69,sell,14:50:03,500,8.39,-1077237645,4.95
830,830,buy,14:50:03,200,17.79,-350324012,0.64
600155,600155,buy,14:50:03,500,9.79,97899011,0.98
600056,600056,buy,14:50:03,100,23.22,97899009,0.46
600056,600056,buy,14:50:03,300,23.22,97899010,1.39
601012,601012,buy,14:50:02,100,35.45,97897076,0.71
300274,300274,buy,14:46:48,200,17.87,-1805210309,0.64
300274,300274,buy,14:46:46,200,17.88,-1805212582,0.64
300274,300274,buy,14:46:45,100,17.88,-1805212863,0.32
600580,600580,buy,14:46:37,600,8.3,97713497,1
600580,600580,buy,14:46:00,600,8.28,97683055,0.99
300274,300274,sell,14:45:32,300,17.93,-1805286503,6.35
601012,601012,sell,14:45:14,200,35.38,97640135,8.49
600580,600580,sell,14:43:54,600,8.33,97576889,6
488,488,buy,14:43:27,600,17.82,-1077638331,1.92
601012,601012,buy,14:42:37,200,35.38,97518679,1.42
600580,600580,sell,14:41:34,600,8.35,97468174,6.01
300274,300274,sell,14:36:21,200,18.03,-1805758232,4.26
712,712,sell,14:31:21,100,14.76,-351292161,1.74
600183,600183,sell,14:31:21,500,16.79,97048967,10.07
712,712,sell,14:27:39,100,14.8,-351447329,1.75
488,488,sell,14:22:00,600,17.93,-1078594261,12.69
488,488,sell,14:21:57,600,17.93,-1078596473,12.69
488,488,buy,14:20:12,200,17.88,-1078665429,0.64
488,488,buy,14:20:12,100,17.88,-1078665427,0.32
600183,600183,buy,14:16:04,500,16.79,96499640,1.68
830,830,sell,14:10:21,200,17.95,-352050631,4.24
830,830,sell,14:10:18,200,17.95,-352052299,4.24
830,830,buy,14:08:36,200,17.85,-352108830,0.64
830,830,buy,14:08:33,200,17.85,-352110683,0.64
712,712,buy,14:08:24,100,14.77,-352115905,0.27
712,712,buy,14:08:21,100,14.77,-352117563,0.27
488,488,buy,14:03:08,300,17.92,-1079270349,0.97
488,488,buy,14:02:57,600,17.91,-1079278195,1.93
600580,600580,buy,13:43:09,600,8.4,95498953,1.01
600580,600580,buy,13:43:06,600,8.4,95497380,1.01
600580,600580,sell,13:38:15,100,8.4,95356049,1.01
600580,600580,buy,13:28:51,100,8.43,95086001,0.17
513,513,sell,13:28:03,100,73.42,-353615443,8.66
600885,600885,sell,13:12:45,200,45.86,94625277,11.01
600885,600885,buy,13:12:21,200,45.81,94614113,1.83
488,488,sell,13:10:21,100,17.82,-1081129179,2.1
488,488,sell,13:10:21,400,17.82,-1081129177,8.41
600580,600580,sell,13:07:24,600,8.43,94479518,6.07
600580,600580,sell,13:05:12,600,8.44,94424412,6.08
600885,600885,sell,11:21:07,200,45.91,94042921,11.02
600885,600885,buy,11:20:45,200,45.86,94034036,1.83
513,513,buy,11:20:27,100,74,-354958882,1.33
513,513,sell,11:17:30,100,74.09,-355065782,8.74
300001,300001,buy,11:17:04,100,13.8,1757565054,0.25
513,513,buy,11:15:06,100,73.82,-355162620,1.33
300001,300001,sell,11:12:22,100,13.77,1757372183,1.62
300001,300001,sell,11:12:07,100,13.79,1757363114,1.63
300297,300297,sell,11:11:40,100,9.82,1757346837,1.16
601012,601012,sell,11:11:20,200,35.74,93801327,8.58
300001,300001,buy,11:10:19,100,13.77,1757295435,0.25
830,830,sell,11:09:57,100,18,-355344757,2.12
830,830,sell,11:09:52,200,17.99,-355347818,4.25
830,830,sell,11:09:51,100,17.96,-355348398,2.12
830,830,buy,11:09:42,200,18,-355355813,0.65
830,830,buy,11:09:33,200,18,-355361748,0.65
300297,300297,buy,11:08:49,100,9.81,1757229111,0.18
300001,300001,buy,11:08:33,100,13.75,1757216976,0.25
600580,600580,buy,11:08:25,100,8.43,93719109,0.17
601012,601012,buy,11:08:20,200,35.71,93716491,1.43
600580,600580,buy,11:08:15,500,8.43,93713286,0.84
600580,600580,buy,11:08:01,500,8.41,93705630,0.84
600580,600580,buy,11:08:01,100,8.41,93705631,0.17
2673,2673,buy,11:07:25,200,10.32,-1810085699,0.37
2673,2673,buy,11:07:21,200,10.32,-1810087128,0.37
600885,600885,sell,11:07:16,200,45.97,93685452,11.03
488,488,buy,11:06:21,400,17.82,-1082406274,1.28
488,488,buy,11:06:21,100,17.82,-1082406272,0.32
600885,600885,buy,11:06:15,200,45.95,93660725,1.84
69,69,buy,11:06:00,1000,8.49,-1082418281,1.53
600183,600183,sell,11:03:31,300,16.9,93590388,6.08
600183,600183,sell,11:03:28,200,16.9,93589212,4.06
300297,300297,sell,11:03:00,100,9.78,1757010219,1.15
300297,300297,sell,11:02:49,100,9.8,1757003164,1.16
600183,600183,buy,11:00:01,500,16.9,93503282,1.69
830,830,sell,10:56:30,200,18.02,-355793643,4.25
830,830,sell,10:55:18,200,17.98,-355834497,4.24
830,830,buy,10:53:42,200,17.9,-355889352,0.64
830,830,buy,10:53:39,200,17.89,-355891459,0.64
830,830,buy,10:53:36,200,17.89,-355892892,0.64
513,513,buy,10:52:30,100,72.89,-355931100,1.31
300297,300297,buy,10:51:25,100,9.78,1756585766,0.18
300297,300297,buy,10:51:22,100,9.78,1756583732,0.18
636,636,sell,10:50:27,100,12.64,-356000549,1.49
830,830,sell,10:42:00,200,18.09,-356296554,4.27
600580,600580,sell,10:32:28,500,8.45,92710943,5.07
600580,600580,sell,10:32:03,100,8.44,92698966,1.01
600580,600580,buy,10:30:19,50,8.42,92645356,0.08
600580,600580,buy,10:30:19,100,8.42,92645357,0.17
