证券代码,证券名称,交易类型,交易时间,成交股数,成交价格,成交编号,交易费用
300001,300001,sell,14:50:07,100,13.48,-347609449,1.59
300274,300274,sell,14:50:05,100,17.59,1764955956,2.08
636,636,buy,14:50:04,200,12.68,-1075325541,0.46
830,830,buy,14:50:04,200,17.07,-1075325426,0.61
2273,2273,buy,14:50:04,200,21.48,1764954970,0.77
2500,2500,sell,14:50:04,200,7.77,-347613473,1.83
300297,300297,buy,14:50:04,100,9.6,-347612960,0.17
627,627,buy,14:50:03,300,8.05,-347614428,0.43
69,69,sell,14:50:03,500,8.37,-1802943590,4.94
488,488,buy,14:50:03,600,17.5,1764954260,1.89
600183,600183,buy,14:50:02,200,16.81,99855658,0.67
600580,600580,buy,14:50:02,100,8.64,99855657,0.17
600611,600611,buy,14:50:02,300,4.98,99856685,0.3
601939,601939,sell,14:50:02,500,8.07,99856868,4.84
600056,600056,buy,14:50:02,400,23.92,99857148,1.91
600885,600885,buy,14:50:02,100,45.79,99857272,0.92
601012,601012,buy,14:50:02,100,35.98,99855716,0.72
600820,600820,sell,14:50:02,1400,7.5,99855715,12.6
300001,300001,buy,14:49:42,100,13.5,-347645114,0.24
300001,300001,buy,14:48:22,100,13.47,-347773820,0.24
300274,300274,buy,14:46:52,100,17.65,1764636455,0.32
69,69,buy,14:46:51,100,8.39,-1803273381,0.15
830,830,sell,14:46:19,200,17.17,-1075696975,4.05
830,830,buy,14:45:27,200,17,-1075791487,0.61
600611,600611,sell,14:43:59,300,4.97,99345683,1.79
69,69,buy,14:39:27,400,8.43,-1803905581,0.61
69,69,buy,14:37:39,500,8.42,-1804028666,0.76
2500,2500,buy,14:32:25,200,7.78,-349208553,0.28
2500,2500,buy,14:32:22,200,7.78,-349212759,0.28
2500,2500,sell,14:29:22,200,7.85,-349498112,1.85
2500,2500,sell,14:29:16,200,7.85,-349505240,1.85
69,69,sell,14:29:15,1000,8.45,-1804762918,9.97
300274,300274,sell,14:29:07,300,18.02,1763117441,6.38
488,488,sell,14:28:33,600,17.67,1763092081,12.51
488,488,sell,14:28:18,600,17.67,1763082300,12.51
830,830,sell,14:27:48,100,17.6,-1077280447,2.08
830,830,sell,14:27:48,100,17.6,-1077280445,2.08
830,830,sell,14:27:45,200,17.6,-1077282242,4.15
830,830,buy,14:26:39,200,17.52,-1077328887,0.63
830,830,buy,14:26:33,200,17.5,-1077333183,0.63
600611,600611,buy,14:23:46,900,5,98127971,0.9
488,488,buy,14:22:21,600,17.65,1762837673,1.91
488,488,buy,14:22:18,600,17.65,1762835302,1.91
300274,300274,buy,14:15:53,300,18.11,1762478948,0.98
300274,300274,sell,14:14:36,300,18.12,1762415026,6.41
300274,300274,buy,14:12:37,200,18.09,1762322858,0.65
300274,300274,buy,14:12:34,300,18.09,1762320580,0.98
600580,600580,buy,14:11:49,400,8.72,97624397,0.7
830,830,sell,14:10:00,200,17.64,-1078203637,4.16
830,830,buy,14:08:30,200,17.55,-1078298094,0.63
300274,300274,sell,14:06:22,200,18.16,1761997934,4.29
300274,300274,sell,14:04:18,300,18.2,1761913081,6.44
830,830,sell,14:00:09,200,17.71,-1078714051,4.18
830,830,sell,14:00:06,200,17.72,-1078716371,4.18
830,830,buy,13:59:21,200,17.71,-1078746333,0.64
830,830,buy,13:59:19,200,17.7,-1078747800,0.64
600183,600183,sell,13:53:52,200,16.97,96926378,4.07
300274,300274,buy,13:39:58,200,18.22,1760963923,0.66
300274,300274,buy,13:39:58,100,18.22,1760963925,0.33
300274,300274,sell,13:36:51,300,18.2,1760839855,6.44
600580,600580,buy,13:34:55,100,8.76,96274428,0.18
300274,300274,buy,13:33:25,300,18.25,1760703014,0.99
300274,300274,sell,13:31:46,100,18.24,1760638350,2.15
300274,300274,sell,13:31:46,200,18.24,1760638352,4.3
513,513,sell,13:24:30,100,77.3,-1807490151,9.12
600580,600580,sell,13:20:44,500,8.71,95804869,5.23
600580,600580,sell,13:20:40,500,8.7,95802523,5.22
600183,600183,sell,13:20:34,200,17.09,95799257,4.1
600580,600580,sell,13:17:04,100,8.7,95678838,1.04
600580,600580,sell,13:16:55,100,8.72,95673376,1.05
600580,600580,buy,13:11:16,600,8.71,95473103,1.05
600580,600580,buy,13:11:13,600,8.71,95471494,1.05
600580,600580,sell,13:08:28,177,8.68,95389399,1.84
600580,600580,sell,13:08:28,223,8.68,95389400,2.32
2273,2273,sell,13:03:21,400,21.86,1759598392,10.32
513,513,buy,11:25:28,100,77.13,-1808559445,1.39
513,513,buy,11:25:25,100,77.1,-1808560665,1.39
601012,601012,sell,11:19:57,200,36.39,94846635,8.73
601012,601012,buy,11:17:53,200,36.39,94787827,1.46
2273,2273,buy,11:17:04,400,21.78,1758924817,1.57
300274,300274,buy,11:17:01,300,18.17,1758922977,0.98
300274,300274,sell,11:05:42,300,18.2,1758431575,6.44
513,513,sell,11:05:39,100,76.47,-1809270360,9.02
830,830,sell,11:02:42,200,17.95,-1082190717,4.24
830,830,buy,11:01:27,200,17.91,-1082240122,0.64
600580,600580,buy,10:59:50,400,8.65,94152465,0.69
712,712,sell,10:59:00,100,15.46,-354514436,1.82
712,712,buy,10:57:42,100,15.42,-354578243,0.28
712,712,buy,10:57:39,100,15.42,-354580120,0.28
600580,600580,sell,10:55:41,600,8.68,93987557,6.25
600155,600155,buy,10:52:48,500,9.91,93859297,0.99
600155,600155,sell,10:51:27,500,9.88,93806248,5.93
600155,600155,sell,10:51:24,500,9.89,93804451,5.93
600183,600183,buy,10:51:02,400,17.08,93789437,1.37
600155,600155,buy,10:49:51,500,9.89,93735745,0.99
600155,600155,buy,10:49:48,500,9.89,93733693,0.99
600155,600155,sell,10:48:42,500,9.86,93694023,5.92
600155,600155,sell,10:48:39,500,9.86,93692456,5.92
600580,600580,sell,10:42:26,600,8.67,93481740,6.24
300136,300136,buy,10:41:34,100,40.46,1757283692,0.73
600611,600611,sell,10:34:02,900,5.03,93165314,5.43
600611,600611,buy,10:33:38,900,5.02,93148997,0.9
681,681,buy,10:32:54,100,27.45,1756807203,0.49
681,681,sell,10:30:39,100,27.4,1756668105,3.23
681,681,sell,10:30:30,100,27.4,1756657828,3.23
600183,600183,sell,10:29:17,400,17.09,92966731,8.2
600885,600885,sell,10:28:48,100,45.36,92946901,5.44
600885,600885,sell,10:28:45,100,45.36,92944843,5.44
600611,600611,sell,10:28:26,800,5.05,92932647,4.85
600885,600885,buy,10:28:18,200,45.58,92926996,1.82
681,681,buy,10:26:18,100,27.35,1756397729,0.49
681,681,buy,10:26:03,100,27.39,1756382069,0.49
600580,600580,buy,10:25:56,600,8.61,92825529,1.03
600183,600183,buy,10:22:58,400,17.06,92693901,1.36
300136,300136,buy,10:22:10,100,40.29,1756132229,0.73
681,681,sell,10:22:06,100,27.42,1756128005,3.24
681,681,sell,10:21:45,100,27.47,1756105482,3.24
600611,600611,buy,10:20:56,800,5.03,92602369,0.8
2273,2273,sell,10:19:58,400,21.86,1755997576,10.32
2273,2273,buy,10:18:09,400,21.8,1755890367,1.57
681,681,buy,10:16:54,100,27.35,1755814430,0.49
681,681,buy,10:16:36,100,27.35,1755796877,0.49
600611,600611,sell,10:15:26,700,5.06,92368613,4.25
600611,600611,sell,10:15:23,900,5.06,92366449,5.46
300136,300136,sell,10:15:18,200,40.58,1755718147,9.58
600611,600611,sell,10:14:56,200,5.05,92346626,1.21
600183,600183,sell,10:13:56,400,16.99,92298152,8.16
681,681,sell,10:12:21,100,27.58,1755529017,3.25
681,681,sell,10:12:18,100,27.58,1755525274,3.25
300001,300001,sell,10:12:12,100,13.77,-357013234,1.62
600183,600183,buy,10:12:11,300,16.99,92203222,1.02
600183,600183,buy,10:12:11,100,16.99,92203223,0.34
300001,300001,sell,10:11:56,100,13.79,-357034991,1.63
2273,2273,sell,10:11:51,400,21.86,1755492099,10.32
600580,600580,sell,10:11:44,600,8.63,92177018,6.21
300136,300136,sell,10:10:33,100,40.83,1755407376,4.82
300136,300136,sell,10:10:33,100,40.83,1755407378,4.82
600611,600611,buy,10:09:00,845,5.06,92020307,0.86
600611,600611,buy,10:08:59,55,5.06,92018631,0.06
600611,600611,buy,10:08:53,900,5.06,92012728,0.91
600580,600580,buy,10:08:50,600,8.63,92009775,1.04
2273,2273,buy,10:08:49,100,21.82,1755293024,0.39
636,636,sell,10:08:24,200,12.91,-1085102512,3.05
2273,2273,sell,10:08:20,100,21.86,1755261955,2.58
600580,600580,sell,10:07:56,600,8.63,91960098,6.21
681,681,buy,10:05:48,100,27.49,1755105355,0.49
600183,600183,sell,10:05:20,400,16.96,91828983,8.14
600820,600820,buy,10:04:50,1400,7.58,91805156,2.12
513,513,sell,10:04:45,100,76.25,-1812342399,9
681,681,sell,10:04:42,100,27.5,1755036521,3.25
600580,600580,buy,10:03:35,500,8.6,91742918,0.86
600580,600580,buy,10:03:35,100,8.6,91742919,0.17
600580,600580,buy,10:03:29,600,8.6,91738174,1.03
513,513,buy,10:03:24,100,76.15,-1812440909,1.37
513,513,buy,10:03:23,100,76,-1812441739,1.37
513,513,sell,10:02:03,100,76.2,-1812541836,8.99
300001,300001,buy,10:01:17,100,13.81,-357790920,0.25
300001,300001,buy,10:01:10,100,13.81,-357798917,0.25
681,681,buy,10:01:03,100,27.47,1754794916,0.49
681,681,buy,10:01:00,100,27.47,1754791101,0.49
300136,300136,buy,10:00:16,100,40.52,1754737832,0.73
300136,300136,buy,10:00:16,100,40.55,1754737834,0.73
300136,300136,buy,10:00:14,200,40.52,1754736206,1.46
712,712,sell,9:59:54,100,15.25,-357900344,1.8
712,712,sell,9:59:51,100,15.25,-357905105,1.8
300136,300136,sell,9:59:46,200,40.66,1754697901,9.6
681,681,sell,9:59:39,100,27.7,1754688922,3.27
300136,300136,sell,9:59:37,200,40.68,1754686446,9.6
681,681,sell,9:59:36,100,27.71,1754685606,3.27
601012,601012,sell,9:58:59,200,36.47,91488078,8.75
600611,600611,sell,9:57:50,900,5.02,91423071,5.42
601012,601012,buy,9:57:36,200,36.42,91409810,1.46
600611,600611,sell,9:57:11,900,5.03,91383757,5.43
